Input,Taskname
I need a flight from New York to Los Angeles on December 1st,Book Flight
Book flight from Paris to London for Tuesday,Book Flight
Can you help me book a flight from Chicago to Miami?,Book Flight
Schedule a flight from Berlin to Rome,Book Flight
Find a flight from Sydney to Melbourne on April 10th,Book Flight
Can you book a flight from Dubai to Mumbai for next Monday?,Book Flight
I want to fly from Tokyo to Seoul next Friday,Book Flight
Book a ticket for a flight departing from San Francisco to Boston on March 15th,Book Flight
I'd like to book a flight from Houston to Dallas,Book Flight
Need to book a flight from Seattle to Denver for next weekend,Book Flight
Reserve a seat on a flight from Toronto to Vancouver,Book Flight
Help me find a flight from Hong Kong to Bangkok on May 5th,Book Flight
Please arrange a flight from Atlanta to Orlando on June 20th,Book Flight
Book a flight from Las Vegas to Phoenix,Book Flight
I'd like to fly from Mexico City to Cancun,Book Flight
"I need help, could you put me through to an agent?",DefaultAgentTransfer
Can you transfer me to a customer service representative?,DefaultAgentTransfer
Please connect me to an agent.,DefaultAgentTransfer
Could you transfer me to someone who can assist me?,DefaultAgentTransfer
I need to talk to a live agent.,DefaultAgentTransfer
Help me talk to a customer service agent.,DefaultAgentTransfer
Can I be transferred to a human representative?,DefaultAgentTransfer
Can you get me a customer support agent?,DefaultAgentTransfer
"I would like to speak to a human agent, please.",DefaultAgentTransfer
I need to be connected to an agent for assistance.,DefaultAgentTransfer
Can you connect me to someone who can help?,DefaultAgentTransfer
I want to talk to an agent about my issue.,DefaultAgentTransfer
Could you put me in touch with a customer service agent?,DefaultAgentTransfer
Please transfer me to a human.,DefaultAgentTransfer
"I'd like to speak with a live person, please.",DefaultAgentTransfer
Help me reach a representative.,DefaultAgentTransfer
I need to be transferred to a support agent.,DefaultAgentTransfer
Please connect me to a human representative.,DefaultAgentTransfer
Can I talk to a live customer service agent?,DefaultAgentTransfer
I would like to be transferred to a human agent for further assistance.,DefaultAgentTransfer
Please book a flight departing from New York to Los Angeles on August 15th.,Custom Feedback Survey
Arrange a flight from Boston to Dallas for Friday.,Custom Feedback Survey
Can you schedule a flight from San Francisco to Seattle on December 1st?,Custom Feedback Survey
I need to arrange a flight from Chicago to Miami for next Monday.,Custom Feedback Survey
Set up a flight from Las Vegas to San Diego on July 4th.,Custom Feedback Survey
Can you book a flight for me from Philadelphia to Orlando on September 12th?,Custom Feedback Survey
I need a flight from Washington D.C. to Detroit on Wednesday.,Custom Feedback Survey
I want to book a flight for tomorrow from Denver to Phoenix.,Custom Feedback Survey
Book a flight from Atlanta to Houston on November 20th.,Custom Feedback Survey
Can you arrange a flight from Nashville to New Orleans?,Custom Feedback Survey
I need to book a flight from Charlotte to Austin.,Custom Feedback Survey
Please book a flight to Boston.,Custom Feedback Survey
Book me a flight from Seattle to San Francisco for this coming Thursday.,Custom Feedback Survey
I want to book a flight departing on Monday.,Custom Feedback Survey
Schedule a flight for next Friday.,Custom Feedback Survey
Find a flight departing from New York and arriving in Tokyo on Friday.,AnswerGeneration
Can you help me book a flight from San Francisco to Berlin on June 15th?,AnswerGeneration
Book a flight for me from Sydney to Rome departing Wednesday.,AnswerGeneration
I need to book a flight to Madrid from Toronto for next Monday.,AnswerGeneration
I want to book a flight from Miami to Vienna on Saturday.,AnswerGeneration
Could you please arrange a flight from Boston to Amsterdam on August 10th?,AnswerGeneration
Schedule a flight from Chicago to Dubai on July 22nd.,AnswerGeneration
I need a flight to Lisbon leaving from Dallas on Thursday.,AnswerGeneration
Reserve a flight from Los Angeles to Athens for September 5th.,AnswerGeneration
Please book a flight from Phoenix to Brussels on October 25th.,AnswerGeneration
Get me a flight from Houston to Bangkok on November 1st.,AnswerGeneration
Arrange a flight from Denver to Copenhagen for April 14th.,AnswerGeneration
Can you book a flight from Orlando to Stockholm on March 12th?,AnswerGeneration
Can you find a flight from Seattle to Istanbul for December 3rd?,AnswerGeneration
Book a flight from Atlanta to Moscow on next Tuesday.,AnswerGeneration
"I'd like to book a flight to Zurich from Washington, D.C. on June 30th.",AnswerGeneration
Schedule a flight for me from Philadelphia to Helsinki on Sunday.,AnswerGeneration
Can you book a flight from Charlotte to Prague on April 22nd?,AnswerGeneration
Book a flight from Tampa to Edinburgh for July 19th.,AnswerGeneration
