"Bot Name:","TravelGenie"
"Report name:","Developer Batch Testing"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Notes:",""
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","80","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","2","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","03-15-2025 10:21:40 AM"
"Utterance count:","171"
"Percentage breakdown:","82.46% True Positive","0.00% True Negative","1.75% False Positive","15.79% False Negative"
"Success / Failure Ratio:","82.46"
"F1 Score:","0.90"
"Precision:","0.98"
"Recall:","0.84"
"Total Entities Count:","0"
"Matched Entities Count:","0"
"Entities Success / Failure Ration:","0.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"Find me a flight departing from Los Angeles to Chicago for next Wednesday.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to book a flight to Toronto from Vancouver on Thursday.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need a flight from Tokyo to Sydney next Monday.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Get me a flight from Mumbai to Bangkok.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you arrange a flight to Dubai?","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a flight for next weekend.","TravelBuddy","custom feedback survey","None","configured","FP","","","","","","AskChoice","","","","ML: 0.853; RR: 85.3",""
"Book a ticket from Boston to Houston for January 22nd.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a flight from London to New York.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I am looking to fly from Sydney to Melbourne next Wednesday.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Help me change the booking for my flight from San Diego to Las Vegas.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to travel from Berlin to Amsterdam on Saturday.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Arrange a flight departing San Francisco and arriving in Seattle for next Monday.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Modify my current booking for the route from Madrid to Lisbon.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to update my booking to fly from Boston to Miami on April 12th.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please alter my flight details from Amsterdam to Vienna.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Change my booking date for my flight from Chicago to San Francisco to December 1st.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Adjust my travel plans for the journey from Dubai to Mumbai.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to change my flight from New York to Los Angeles on November 15th.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I'd like to fly from Mexico City to Cancun","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Help me book a flight to Paris.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 98; RR: 9800","ML: 98; RR: 9800"
"I want to book a flight from Las Vegas for June 5th.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
