sentence,type,language,taskName
I need a flight from New York to Los Angeles on December 1st,DialogIntent,en,Book Flight
Book flight from Paris to London for Tuesday,DialogIntent,en,Book Flight
Can you help me book a flight from Chicago to Miami?,DialogIntent,en,Book Flight
Schedule a flight from Berlin to Rome,DialogIntent,en,Book Flight
Find a flight from Sydney to Melbourne on April 10th,DialogIntent,en,Book Flight
Can you book a flight from Dubai to Mumbai for next Monday?,DialogIntent,en,Book Flight
I want to fly from Tokyo to Seoul next Friday,DialogIntent,en,Book Flight
Book a ticket for a flight departing from San Francisco to Boston on March 15th,DialogIntent,en,Book Flight
I'd like to book a flight from Houston to Dallas,DialogIntent,en,Book Flight
Need to book a flight from Seattle to Denver for next weekend,DialogIntent,en,Book Flight
Reserve a seat on a flight from Toronto to Vancouver,DialogIntent,en,Book Flight
Help me find a flight from Hong Kong to Bangkok on May 5th,DialogIntent,en,Book Flight
Please arrange a flight from Atlanta to Orlando on June 20th,DialogIntent,en,Book Flight
Book a flight from Las Vegas to Phoenix,DialogIntent,en,Book Flight
I'd like to fly from Mexico City to Cancun,DialogIntent,en,Book Flight
"I need help, could you put me through to an agent?",DialogIntent,en,DefaultAgentTransfer
Can you transfer me to a customer service representative?,DialogIntent,en,DefaultAgentTransfer
Please connect me to an agent.,DialogIntent,en,DefaultAgentTransfer
Could you transfer me to someone who can assist me?,DialogIntent,en,DefaultAgentTransfer
I need to talk to a live agent.,DialogIntent,en,DefaultAgentTransfer
Help me talk to a customer service agent.,DialogIntent,en,DefaultAgentTransfer
Can I be transferred to a human representative?,DialogIntent,en,DefaultAgentTransfer
Can you get me a customer support agent?,DialogIntent,en,DefaultAgentTransfer
"I would like to speak to a human agent, please.",DialogIntent,en,DefaultAgentTransfer
I need to be connected to an agent for assistance.,DialogIntent,en,DefaultAgentTransfer
Can you connect me to someone who can help?,DialogIntent,en,DefaultAgentTransfer
I want to talk to an agent about my issue.,DialogIntent,en,DefaultAgentTransfer
Could you put me in touch with a customer service agent?,DialogIntent,en,DefaultAgentTransfer
Please transfer me to a human.,DialogIntent,en,DefaultAgentTransfer
"I'd like to speak with a live person, please.",DialogIntent,en,DefaultAgentTransfer
Help me reach a representative.,DialogIntent,en,DefaultAgentTransfer
I need to be transferred to a support agent.,DialogIntent,en,DefaultAgentTransfer
Please connect me to a human representative.,DialogIntent,en,DefaultAgentTransfer
Can I talk to a live customer service agent?,DialogIntent,en,DefaultAgentTransfer
I would like to be transferred to a human agent for further assistance.,DialogIntent,en,DefaultAgentTransfer
Please book a flight departing from New York to Los Angeles on August 15th.,DialogIntent,en,Custom Feedback Survey
Arrange a flight from Boston to Dallas for Friday.,DialogIntent,en,Custom Feedback Survey
Can you schedule a flight from San Francisco to Seattle on December 1st?,DialogIntent,en,Custom Feedback Survey
I need to arrange a flight from Chicago to Miami for next Monday.,DialogIntent,en,Custom Feedback Survey
Set up a flight from Las Vegas to San Diego on July 4th.,DialogIntent,en,Custom Feedback Survey
Can you book a flight for me from Philadelphia to Orlando on September 12th?,DialogIntent,en,Custom Feedback Survey
I need a flight from Washington D.C. to Detroit on Wednesday.,DialogIntent,en,Custom Feedback Survey
I want to book a flight for tomorrow from Denver to Phoenix.,DialogIntent,en,Custom Feedback Survey
Book a flight from Atlanta to Houston on November 20th.,DialogIntent,en,Custom Feedback Survey
Can you arrange a flight from Nashville to New Orleans?,DialogIntent,en,Custom Feedback Survey
I need to book a flight from Charlotte to Austin.,DialogIntent,en,Custom Feedback Survey
Please book a flight to Boston.,DialogIntent,en,Custom Feedback Survey
Book me a flight from Seattle to San Francisco for this coming Thursday.,DialogIntent,en,Custom Feedback Survey
I want to book a flight departing on Monday.,DialogIntent,en,Custom Feedback Survey
Schedule a flight for next Friday.,DialogIntent,en,Custom Feedback Survey
Find a flight departing from New York and arriving in Tokyo on Friday.,DialogIntent,en,AnswerGeneration
Can you help me book a flight from San Francisco to Berlin on June 15th?,DialogIntent,en,AnswerGeneration
Book a flight for me from Sydney to Rome departing Wednesday.,DialogIntent,en,AnswerGeneration
I need to book a flight to Madrid from Toronto for next Monday.,DialogIntent,en,AnswerGeneration
I want to book a flight from Miami to Vienna on Saturday.,DialogIntent,en,AnswerGeneration
Could you please arrange a flight from Boston to Amsterdam on August 10th?,DialogIntent,en,AnswerGeneration
Schedule a flight from Chicago to Dubai on July 22nd.,DialogIntent,en,AnswerGeneration
I need a flight to Lisbon leaving from Dallas on Thursday.,DialogIntent,en,AnswerGeneration
Reserve a flight from Los Angeles to Athens for September 5th.,DialogIntent,en,AnswerGeneration
Please book a flight from Phoenix to Brussels on October 25th.,DialogIntent,en,AnswerGeneration
Get me a flight from Houston to Bangkok on November 1st.,DialogIntent,en,AnswerGeneration
Arrange a flight from Denver to Copenhagen for April 14th.,DialogIntent,en,AnswerGeneration
